hash	citation	verified	new_hash	author	title	URL	DOI	year	reference_count	is_referenced_by_count
('Gross J and Yellen J (ed) 2004 Handbook of Graph Theory (Boca Raton, FL: CRC Press)', 'CITATION ONLY')	Gross J and Yellen J (ed) 2004 Handbook of Graph Theory (Boca Raton, FL: CRC Press)	1	('2004 Handbook of Graph Theory', 2004)	J Gross and J Yellen	2004 Handbook of Graph Theory	http://dx.doi.org/10.1002/amo.860040608	10.1002/amo.860040608	2004		
('C. Bauckhage, S. Wachsmuth and G. Sagerer, 3D assembly recognition by matching functional subparts, in Proc. 3rd IAPR-TC15 Workshop on Graph-Based Representations in Pattern Recognition, 2001, pp. 95â€“104.', 'CITATION ONLY')	C. Bauckhage, S. Wachsmuth and G. Sagerer, 3D assembly recognition by matching functional subparts, in Proc. 3rd IAPR-TC15 Workshop on Graph-Based Representations in Pattern Recognition, 2001, pp. 95â€“104.	1	('3D assembly recognition by matching functional subparts', 2001)	Christian Bauckhage and S Wachsmuth and Gerhard Sagerer	3D assembly recognition by matching functional subparts	http://dx.doi.org/10.1007/3-540-45404-7_24	10.1007/3-540-45404-7_24	2001		
('Memorizing Visual Knowledge for Assembly Process Monitoring', 2001.0)	C. Bauckhage, S. Wachsmuth, G. Sagerer, "3D Assembly Recognition by Matching Functional Subparts", 3rd IAPR-TCIS Workshop on Graph-based Representations in Pattern Recognition, pp. 95-104, 2001.	1	('3D assembly recognition by matching functional subparts', 2001)	Christian Bauckhage and S Wachsmuth and Gerhard Sagerer	3D assembly recognition by matching functional subparts	http://dx.doi.org/10.1007/3-540-45404-7_24	10.1007/3-540-45404-7_24	2001		
('Quality analysis on 3D building models reconstructed from airborne laser scanning data', 2011.0)	Schwalbe, E.; Maas, H.-G.; Seidel, F. 3D Building model generation from airborne laser scanner data using 2D GIS data and orthogonal point cloud projections. In Workshop â€œLaser scanning 2005â€\x9d; International Archives of Photogrammetry, Remote Sensing and Spatial Information Sciences: Enschede, The Netherlands, 2005; Volume 36, pp. 209â€“214.	1	('3D Building model generation from airborne laser scanner data using 2D GIS data and orthogonal point cloud projections', 2005)	E Schwalbe and H G Maas and F Seidel	3D Building model generation from airborne laser scanner data using 2D GIS data and orthogonal point cloud projections	http://dx.doi.org/10.1016/j.isprsjprs.2010.09.009	10.1016/j.isprsjprs.2010.09.009	2005		
('Building modeling from noisy photogrammetric point clouds', 2014.0)	Vosselman, G.; Dijkman, S. 3D building model reconstruction from point clouds and ground plans. In ISPRS Workshop Land Surface Mapping and Characterization Using Laser Altimetry; International Archives of Photogrammetry, Remote Sensing and Spatial Information Sciences: Annapolis, MD, USA, 2001; Volume 34, pp. 37â€“43.	1	('3D building model reconstruction from point clouds and ground plans', 2001)	S Djikman and G. Vosselman	3D building model reconstruction from point clouds and ground plans	http://dx.doi.org/10.5194/isprsannals-ii-3-197-2014	10.5194/isprsannals-ii-3-197-2014	2001		
('M. Green, P. Karp, "A Bayesian Method for Identifying Missing Enzymes in Predicted Metabolic Pathway Databases", BMC Bioinformatics, vol. 5, pp. 76, 2004.', 'CITATION ONLY')	M. Green, P. Karp, "A Bayesian Method for Identifying Missing Enzymes in Predicted Metabolic Pathway Databases", BMC Bioinformatics, vol. 5, pp. 76, 2004.	1	('A Bayesian Method for Identifying Missing Enzymes in Predicted Metabolic Pathway Databases', 2004)	Michelle L Green and Peter D Karp	A Bayesian Method for Identifying Missing Enzymes in Predicted Metabolic Pathway Databases	http://dx.doi.org/10.1186/1471-2105-5-76	10.1186/1471-2105-5-76	2004		
('Robust object and face recognition using a biologically plausible model', 2010.0)	T. Lourens, A biologically plausible model for corner-based object recognition from color images, University of Groningen, 1998.	1	('A biologically plausible model for corner-based object recognition from color images', 1998)	T Lourens	A biologically plausible model for corner-based object recognition from color images	http://dx.doi.org/10.1167/10.7.1015	10.1167/10.7.1015	1998		
('Xu,Y., Murray,B.E. and Weinstock,G.M. (1998) Infect. Immun. , 66, 4313â€“4323.', 'CITATION ONLY')	Xu,Y., Murray,B.E. and Weinstock,G.M. (1998) Infect. Immun. , 66, 4313â€“4323.	1	('A cluster of genes involved in polysaccharide biosynthesis from Enterococcus faecalis OG1RF', 1998)	Yi Xu and George M. Weinstock and Barbara E. Murray	A cluster of genes involved in polysaccharide biosynthesis from Enterococcus faecalis OG1RF	http://dx.doi.org/10.1023/a:1009803328200	10.1023/a:1009803328200	1998		
('Adaptive name matching in information integration', 2003.0)	Cohen, W. W., Ravikumar, P., and Fienberg, S. 2003. A comparison of string metrics for matching names and records. In Proceedings of the KDD Workshop on Data Cleaning and Object Consolidation. ACM, New York.	1	('A comparison of string metrics for matching names and records', 2003)	R. Mooney and W. Cohen and P. Ravikumar and S. Fienberg	A comparison of string metrics for matching names and records	http://dx.doi.org/10.1109/mis.2003.1234765	10.1109/mis.2003.1234765	2003		
('W. W. Cohen, P. Ravikumar, S. Fienberg, "A comparison of string metrics for matching names and records", Proc. of the KDD Workshop on Data Cleaning and Object Consolidation, 2003.', 'CITATION ONLY')	W. W. Cohen, P. Ravikumar, S. Fienberg, "A comparison of string metrics for matching names and records", Proc. of the KDD Workshop on Data Cleaning and Object Consolidation, 2003.	1	('A comparison of string metrics for matching names and records', 2003)	R. Mooney and W. Cohen and P. Ravikumar and S. Fienberg	A comparison of string metrics for matching names and records	http://dx.doi.org/10.1109/mis.2003.1234765	10.1109/mis.2003.1234765	2003		
('Black shale studies in Kentucky. Quarterly report', 1978.0)	P.K. Shizume, C.G. Hefner Jr A computer technical fingerprint search system Proc. 1978 Carnahan Conf. on Crime Countermeasures, Univ. of Kentucky, Lexington, Kentucky (1978), pp. 121-129	1	('A computer technical fingerprint search system', 1978)	P K Shizume and C G Hefner JR	A computer technical fingerprint search system	http://dx.doi.org/10.2172/6376001	10.2172/6376001	1978		
('P. Foggia, C. Sansone, M. Vento, "A Database of Graphs for Isomorphism and Sub Graph Isomorphism Benchmarking", Proc. Third IAPR TC-15 Int\'l Workshop Graph Based Representations, pp. 176-188, 2001.', 'CITATION ONLY')	P. Foggia, C. Sansone, M. Vento, "A Database of Graphs for Isomorphism and Sub Graph Isomorphism Benchmarking", Proc. Third IAPR TC-15 Int'l Workshop Graph Based Representations, pp. 176-188, 2001.	1	('A Database of Graphs for Isomorphism and Sub Graph Isomorphism Benchmarking', 2001)	M. De Santo and P. Foggia and C. Sansone and M. Vento	A Database of Graphs for Isomorphism and Sub Graph Isomorphism Benchmarking	http://dx.doi.org/10.1016/s0167-8655(02)00253-2	10.1016/s0167-8655(02)00253-2	2001		
('P. Foggia, C. Sansone, M. Vento, "A Database of Graphs for Isomorphism and Subgraph Isomorphism Benchmarking", Proc. Third IAPR TC-15 Int\'l Workshop Graph-Based Representations in Pattern Recognition, pp. 176-187, 2001.', 'CITATION ONLY')	P. Foggia, C. Sansone, M. Vento, "A Database of Graphs for Isomorphism and Subgraph Isomorphism Benchmarking", Proc. Third IAPR TC-15 Int'l Workshop Graph-Based Representations in Pattern Recognition, pp. 176-187, 2001.	1	('A Database of Graphs for Isomorphism and Sub Graph Isomorphism Benchmarking', 2001)	M. De Santo and P. Foggia and C. Sansone and M. Vento	A Database of Graphs for Isomorphism and Sub Graph Isomorphism Benchmarking	http://dx.doi.org/10.1016/s0167-8655(02)00253-2	10.1016/s0167-8655(02)00253-2	2001		
('C.B. Shelman, D. Hodges A decimal Henry system Proc. 1973 Carnahan Conf. on Crime Countermeasures, Univ. of Kentucky, Lexington, Kentucky (1973), pp. 213-220', 'CITATION ONLY')	C.B. Shelman, D. Hodges A decimal Henry system Proc. 1973 Carnahan Conf. on Crime Countermeasures, Univ. of Kentucky, Lexington, Kentucky (1973), pp. 213-220	1	('A decimal Henry system', 1973)	C B Shelman	A decimal Henry system	http://dx.doi.org/10.2172/6376001	10.2172/6376001	1973		
('A Dirichlet Process Mixture Based Name Origin Clustering and Alignment Model for Transliteration', 2015.0)	J. Straub, J. Chang, O. Freifeld, and J. Fisher III, â€œA Dirichlet process mixture model for spherical data,â€\x9d in Artificial Intelligence and Statistics, (San Diego, California, USA), pp. 930â€“938, May 2015.	1	('A Dirichlet process mixture model for spherical data', 2015)	J Straub and J Chang and O Freifeld and J Fisher	A Dirichlet process mixture model for spherical data	http://dx.doi.org/10.1155/2015/927063	10.1155/2015/927063	2015		
('Word to word alignment strategies', 2004.0)	Cao, H., Zhao, T., Zhang, S., and Meng, Y. (2016). A distribution-based model to learn bilingual word embeddings. In Proceedings of COLING 2016, the 26th International Conference on Computational Linguistics: Technical Papers, pages 1818â€“1827.	1	('A distribution-based model to learn bilingual word embeddings', 2016)	H Cao and T Zhao and S Zhang and Y Meng	A distribution-based model to learn bilingual word embeddings	http://dx.doi.org/10.3115/1220355.1220386	10.3115/1220355.1220386	2016		
('Compressed feature-based filtering and verification approach for subgraph search', 2013.0)	Gouda K, Hassaan M (2012) A fast algorithm for subgraph search problem. In: 2012 8th international conference on informatics and systems (INFOS). IEEE, pp DE-53â€“DE-59	1	('A fast algorithm for subgraph search problem', 2012)	Karam Gouda and Mosab Hassaan	A fast algorithm for subgraph search problem	http://dx.doi.org/10.1145/2452376.2452411	10.1145/2452376.2452411	2012		
('P. Wang, X. Zhang, Z. Li, J. Cheng, J. Lui, D. Towsley, J. Zhao, J. Tao, and X. Guan. A fast sampling method of exploring graphlet degrees of large directed and undirected graphs. arXiv preprint arXiv:1604.08691, 2016.', 'CITATION ONLY')	P. Wang, X. Zhang, Z. Li, J. Cheng, J. Lui, D. Towsley, J. Zhao, J. Tao, and X. Guan. A fast sampling method of exploring graphlet degrees of large directed and undirected graphs. arXiv preprint arXiv:1604.08691, 2016.	1	('A fast sampling method of exploring graphlet degrees of large directed and undirected graphs', 2016)	Pinghui Wang and Junzhou Zhao and Xiangliang Zhang and Zhenguo Li and Jiefeng Cheng and John C.S. Lui and Don Towsley and Jing Tao and Xiaohong Guan	A fast sampling method of exploring graphlet degrees of large directed and undirected graphs	http://dx.doi.org/10.1109/tkde.2017.2756836	10.1109/tkde.2017.2756836	2016		
('Evaluation of PLC programme provision', 2018.0)	Brown, J., Rao, A. & Baran, J. (1995). A Full-Featured ArcInfo Conflation System, Proc. of the Fifteenth Annual ESRI User Conference, 1995, http://training.esri.com/campus/library/Bibliography/ RecordDetail.cfm?ID=9621 (accessed on 2009-07-27)	1	('A Full-Featured ArcInfo Conflation System', 1995)	J Brown and A Rao and J Baran	A Full-Featured ArcInfo Conflation System	http://dx.doi.org/10.26504/rs61	10.26504/rs61	1995		
('Geothermal Orientation Handbook', 1984.0)	Lupien, A. E. & Moreland, W.H. (1987). A general approach to map compilation, AUTOCARTO 8, ACSMASPRS, Falls Church, Va., pp 630-639	1	('A general approach to map compilation', 1987)	A E Lupien and W H Moreland	A general approach to map compilation	http://dx.doi.org/10.2172/860623	10.2172/860623	1987		
('Transference and Storage of Spatial Data in Distributed Wireless GIS', 2005.0)	Deng, M., Chen, X. & Li, Z. (2005): A Generalized Hausdorff Distance For Spatial Objects In GIS, in Proc. of the 4th ISPRS Workshop on Dynamic and Multi-dimensional GIS, pp. 10 -15, Pontypridd, UK, 2005	1	('A Generalized Hausdorff Distance For Spatial Objects In GIS', 2005)	M Deng and X Chen and Z Li	A Generalized Hausdorff Distance For Spatial Objects In GIS	http://dx.doi.org/10.5220/0002556801140123	10.5220/0002556801140123	2005		
('Influence of Goat Milk on Iron Deficiency Anemia Recovery', 2015.0)	Zhang, M., Shi, W. & Meng, L. (2005). A generic matching algorithm for line networks of different resolutions, Workshop of ICA Commission on Generalization and Multiple Representation Computering Faculty of A CoruÃ±a University - Campus de ElviÃ±a, Spain	1	('A generic matching algorithm for line networks of different resolutions', 2005)	M Zhang and W Shi and L Meng	A generic matching algorithm for line networks of different resolutions	http://dx.doi.org/10.19070/2379-1578-150003	10.19070/2379-1578-150003	2005		
('<title>Segmentation And Compression Of Gray Level Images Using Piecewise Gradient Models</title>', 1983.0)	R Bracho, J Schlag, A.C Sanderson Popeye: A gray-level vision system for robotics applications Technical Report CMU-RI-TR-83-6, Robotics Institute, CMU (1983)	1	('A gray-level vision system for robotics applications', 1983)	A. C. Sanderson and R. Bracho and J Schlag	A gray-level vision system for robotics applications	None	None	1983		
('A new iterative algorithm for computing a quality approximate median of strings based on edit operations', 2014.0)	F. Casacuberta and M. Antonia. A greedy algorithm for computing approximate median strings. In Proc. Nat. Symp. of Pattern Recognition and Image Analysis, pages 193â€“198, Barcelona, Spain, 1996.	1	('A greedy algorithm for computing approximate median strings', 1996)	F Casacuberta and M Antonia	A greedy algorithm for computing approximate median strings	http://dx.doi.org/10.1016/j.patrec.2013.09.014	10.1016/j.patrec.2013.09.014	1996		
('A real-time moving object detection using wavelet-based neural network', 2009.0)	Zhang, M., Mustafa, M., Schimandl, F. & Meng, L. (2009). A Grid-Based Spatial Index for Matching between Moving Vehicles and Road-Network in a Real-Time Environment, Proc. of the XXIV International Cartographic Conference (ICC), Santiago, Chile, November 15-21, 2009, pages pending	1	('A Grid-Based Spatial Index for Matching between Moving Vehicles and Road-Network in a Real-Time Environment', 2009)	M Zhang and M Mustafa and F Schimandl and L Meng	A Grid-Based Spatial Index for Matching between Moving Vehicles and Road-Network in a Real-Time Environment	http://dx.doi.org/10.1109/icce.2009.5012177	10.1109/icce.2009.5012177	2009		
('Web page scoring systems for horizontal and vertical search', 2002.0)	M. Diligenti, M. Gori, M. Maggini, "A Learning Algorithm for Web Page Scoring Systems", Proc. 18th Int'l Joint Conf. Artificial Intelligence, pp. 575-580, 2003.	1	('A Learning Algorithm for Web Page Scoring Systems', 2003)	Michelangelo Diligenti and Marco Gori and Marco Maggini	A Learning Algorithm for Web Page Scoring Systems	http://dx.doi.org/10.1145/511511.511512	10.1145/511511.511512	2003		
('Front Matter', 2005.0)	GÃ¶sseln, G.v. (2005). A matching approach for the integration, change detection and adaptation of heterogeneous vector data sets, XXII International Cartography Conference, 2005	1	('A matching approach for the integration, change detection and adaptation of heterogeneous vector data sets', 2005)	G V Gasseln	A matching approach for the integration, change detection and adaptation of heterogeneous vector data sets	http://dx.doi.org/10.1201/b17008-1	10.1201/b17008-1	2005		
('A LEARNING-BASED FRAMEWORK FOR GRAPH MATCHING', 2004.0)	B.J. van Wyk, M.A. van Wyk, J.J. Botha, "A Matching Framework Based on Joint Probabilities", Proc. 14th Ann. Symp. Pattern Recognition Assoc. of South Africa, pp. 125-130, Nov. 2004.	1	('A Matching Framework Based on Joint Probabilities', 2004)	M. A. VAN WYK and B. J. VAN WYK	A Matching Framework Based on Joint Probabilities	http://dx.doi.org/10.1142/s0218001404003289	10.1142/s0218001404003289	2004		
('Competition, Regulation, and Stability in Banking: Theory and Evidence', 2018.0)	Shafer. G (1976). A Mathematical Theory of Evidence, Princeton University Press	1	('A Mathematical Theory of Evidence', 1976)	G Shafer	A Mathematical Theory of Evidence	http://dx.doi.org/10.23943/princeton/9780691171791.003.0005	10.23943/princeton/9780691171791.003.0005	1976		
('Coined quantum walks lift the cospectrality of graphs and trees', 2009.0)	Emms D, Hancock E, Severini S and Wilson R 2006 Electron. J. Combin. 13 R34	1	('A matrix representation of graphs and its spectrum as a graph invariant', 2006)	David Emms and Simone Severini and Richard C. Wilson and Edwin R. Hancock	A matrix representation of graphs and its spectrum as a graph invariant	http://dx.doi.org/10.1016/j.patcog.2008.10.025	10.1016/j.patcog.2008.10.025	2006		
('Grönlands Amfipoder / beskreven af Henrik Krøyer.', 1837.0)	T. SÃ¸rensen, â€œA method of establishing groups of equal amplitude in plant sociology based on similarity of species and its application to analyses of the vegetation on danish commons,â€\x9d Kongelige Danske Videnskabernes Selskab, vol. 5, pp. 1â€“34, 1948.	1	('A method of establishing groups of equal amplitude in plant sociology based on similarity of species and its application to analyses of the vegetation on danish commons', 1948)	T Sorenson	A method of establishing groups of equal amplitude in plant sociology based on similarity of species and its application to analyses of the vegetation on danish commons	http://dx.doi.org/10.5962/bhl.title.13024	10.5962/bhl.title.13024	1948		
('Solar Photovoltaic Field Tests and Applications Project. Monthly report, 1 October--31 October 1977', 1977.0)	E. Tanaka A metric on graphs and its applications IEE Japan ip-77-55 (31 October 1977)	1	('A metric on graphs and its applications', 1977)	E Tanaka	A metric on graphs and its applications	http://dx.doi.org/10.2172/6877088	10.2172/6877088	1977		
('H. Bunke, G. Allerman, "A metric on graphs for structural pattern recognition" in Signal Processing II: Theories and Applications, North-Holland:Elsevier Science Publishers B.V., pp. 257-260, 1983.', 'CITATION ONLY')	H. Bunke, G. Allerman, "A metric on graphs for structural pattern recognition" in Signal Processing II: Theories and Applications, North-Holland:Elsevier Science Publishers B.V., pp. 257-260, 1983.	1	('A metric on graphs for structural pattern recognition', 1983)	H Bunke and G Allermann	A metric on graphs for structural pattern recognition	http://dx.doi.org/10.1016/0167-8655(83)90033-8	10.1016/0167-8655(83)90033-8	1983		
('Sessions: 2017 25th European Signal Processing Conference (EUSIPCO)', 2017.0)	H. Bunke, G. Allermann, A metric on graphs for structural pattern recognition, in: EUSIPCO (Ed.), Proceedings of Second European Signal Processing Conference EUSIPCO, 1983, pp. 257–260.	1	('A metric on graphs for structural pattern recognition', 1983)	H Bunke and G Allermann	A metric on graphs for structural pattern recognition	http://dx.doi.org/10.1016/0167-8655(83)90033-8	10.1016/0167-8655(83)90033-8	1983		
('Tohsato, Y., Matsuda, H. & Hashimoto, A. in Proceedings of the Eighth International Conference on Intelligent Systems for Molecular Biology (ISMB) 376â€“383 (2000).', 'CITATION ONLY')	Tohsato, Y., Matsuda, H. & Hashimoto, A. in Proceedings of the Eighth International Conference on Intelligent Systems for Molecular Biology (ISMB) 376â€“383 (2000).	1	('A multiple alignment algorithm for metabolic pathway analysis using enzyme hierarchy', 2000)	Yukako Tohsato and H Matsuda and A Hashimoto	A multiple alignment algorithm for metabolic pathway analysis using enzyme hierarchy	http://dx.doi.org/10.2197/ipsjdc.3.736	10.2197/ipsjdc.3.736	2000		
('Tohsato,Y., Matsuda, H., and Hashimoto, A. 2000. A multiple alignment algorithm for metabolic pathway analysis using enzyme hierarchy. Proc. 8th Int. Conf. Intellig. Syst. Mol. Biol. (ISMBâ€™2000) 376â€“383.', 'CITATION ONLY')	Tohsato,Y., Matsuda, H., and Hashimoto, A. 2000. A multiple alignment algorithm for metabolic pathway analysis using enzyme hierarchy. Proc. 8th Int. Conf. Intellig. Syst. Mol. Biol. (ISMBâ€™2000) 376â€“383.	1	('A multiple alignment algorithm for metabolic pathway analysis using enzyme hierarchy', 2000)	Yukako Tohsato and H Matsuda and A Hashimoto	A multiple alignment algorithm for metabolic pathway analysis using enzyme hierarchy	http://dx.doi.org/10.2197/ipsjdc.3.736	10.2197/ipsjdc.3.736	2000		
('Scheimpflug Lens Documentation', 1992.0)	K. Schadler, U. Schmid, B. Machenschalk, and H. Lubben. A neural net for determining structural similarity of recursive programs. In Proc. of the German Workshop of Case-Based Reasoning, Bad Honnef, March 1997.	1	('A neural net for determining structural similarity of recursive programs', 1997)	K Schadler and U Schmid and B Machenschalk and H Lubben	A neural net for determining structural similarity of recursive programs	http://dx.doi.org/10.1159/isbn.978-3-318-01864-6	10.1159/isbn.978-3-318-01864-6	1997		
('Prediction of the disulfide bonding state of cysteines in proteins with hidden neural networks', 2002.0)	Fariselli P, Martelli PL, adio R. A neural networkâ€\x90based method for predicting the disulfide connectivity in proteins. 6th International Conference on Knowledgeâ€\x90Based Intelligent and Engineering Systems 2002.	1	('A neural networkâ€\x90based method for predicting the disulfide connectivity in proteins', 2002)	Pier Luigi Martelli and Piero Fariselli and Rita Casadio	A neural networkâ€\x90based method for predicting the disulfide connectivity in proteins	http://dx.doi.org/10.1093/protein/15.12.951	10.1093/protein/15.12.951	2002		
('Named Entity Recognition for Chinese Social Media with Jointly Trained Embeddings', 2015.0)	Feng, D., LÃ¼, Y., and Zhou, M. 2004. A new approach for english-chinese named entity alignment. In Proceedings of the Conference on Empirical Methods in Natural Language Processing (EMNLPâ€™04). Association for Computational Linguistics, 372--379.	1	('A new approach for english-chinese named entity alignment', 2004)	D Feng and Y Lao and M Zhou	A new approach for english-chinese named entity alignment.	http://dx.doi.org/10.18653/v1/d15-1064	10.18653/v1/d15-1064	2004		
('Schlicker A, et al. A new measure for functional similarity of gene products based on Gene Ontology, BMC Bioinformatics , 2006, vol. 7 (pg. 1-16)', 'CITATION ONLY')	Schlicker A, et al. A new measure for functional similarity of gene products based on Gene Ontology, BMC Bioinformatics , 2006, vol. 7 (pg. 1-16)	1	('A new measure for functional similarity of gene products based on Gene Ontology', 2006)	A Schlicker	A new measure for functional similarity of gene products based on Gene Ontology	http://dx.doi.org/10.1186/1471-2105-9-327	10.1186/1471-2105-9-327	2006		
('Gene Ontology term overlap as a measure of gene functional similarity', 2008.0)	Schlicker et al. (2006) A new measure for functional similarity of gene products based on Gene Ontology. BMC Bioinformatics, 7, 302.	1	('A new measure for functional similarity of gene products based on Gene Ontology', 2006)	A Schlicker	A new measure for functional similarity of gene products based on Gene Ontology	http://dx.doi.org/10.1186/1471-2105-9-327	10.1186/1471-2105-9-327	2006		
('New number fields with known p-class tower', 2015.0)	Dehmer M, Mehler A: A New Method of Measuring Similarity for a Special Class of Directed Graphs. Tatra Mountains Mathematical Publications 2007, 36:39-59.	1	('A New Method of Measuring Similarity for a Special Class of Directed Graphs', 2007)	M Dehmer and A Mehler	A New Method of Measuring Similarity for a Special Class of Directed Graphs	http://dx.doi.org/10.1515/tmmp-2015-0040	10.1515/tmmp-2015-0040	2007		
('Structural similarity of directed universal hierarchical graphs: A low computational complexity approach', 2007.0)	M. Dehmer A. Mehler, A new method of measuring similarity for a special class of directed graphs, Tatra Mount. Math. Publ. 36 (2007) 39â€“59.	1	('A New Method of Measuring Similarity for a Special Class of Directed Graphs', 2007)	M Dehmer and A Mehler	A New Method of Measuring Similarity for a Special Class of Directed Graphs	http://dx.doi.org/10.1515/tmmp-2015-0040	10.1515/tmmp-2015-0040	2007		
('M. Dehmer, A. Mehler, A new method of measuring similarity for a special class of directed graphs, Tatra Mount. Math. Publ. 36 (2007) 39–59.', 'CITATION ONLY')	M. Dehmer, A. Mehler, A new method of measuring similarity for a special class of directed graphs, Tatra Mount. Math. Publ. 36 (2007) 39–59.	1	('A New Method of Measuring Similarity for a Special Class of Directed Graphs', 2007)	M Dehmer and A Mehler	A New Method of Measuring Similarity for a Special Class of Directed Graphs	http://dx.doi.org/10.1515/tmmp-2015-0040	10.1515/tmmp-2015-0040	2007		
('Atom–bond connectivity index of trees', 2009.0)	A. Graovac, M. Ghorbani, A new version of atom-bond connectivity index, Acta Chim. Slov. 57 (2010) 609â€“612.	1	('A new version of atom-bond connectivity index', 2010)	A Graovac and M Ghorbani	A new version of atom-bond connectivity index	http://dx.doi.org/10.1016/j.dam.2009.03.004	10.1016/j.dam.2009.03.004	2010		
('Conceptual Graphs, Metamodeling, and Notation of Concepts', 2000.0)	Nagle, T. E., Esch, J. W. and Mineau, G. (1990) A notation for conceptual structure graph matchers, Proceedings of the 5th Conceptual Structures Workshop, held in conjunction with AAAI-9O, Boston, MA .	1	('A notation for conceptual structure graph matchers', 1990)	T E Nagle and J W Esch and G Mineau	A notation for conceptual structure graph matchers	http://dx.doi.org/10.1007/10722280_11	10.1007/10722280_11	1990		
('Sum-Balaban index and its properties', 2017.0)	M. Knor, R. Skrekovski, A. Tepeh, A note on accumulation points of Balaban index, Ë‡ MATCH Commun. Math. Comput. Chem. 78 (2017) 163â€“168.	1	('A note on accumulation points of Balaban index', 2017)	Martin Knor and Riste Skrekovski and Aleksandra Tepeh	A note on accumulation points of Balaban index	http://dx.doi.org/10.5592/co/ccd.2016.03	10.5592/co/ccd.2016.03	2017		
('Foggia, P., Sansone, C., Vento, M.: A performance comparison of five algorithms for graph isomorphism. In: 3rd IAPR-TC15 Workshop on Graphbased Representations in Pattern Recognition, pp. 188â€“199. Cuen (2001)', 'CITATION ONLY')	Foggia, P., Sansone, C., Vento, M.: A performance comparison of five algorithms for graph isomorphism. In: 3rd IAPR-TC15 Workshop on Graphbased Representations in Pattern Recognition, pp. 188â€“199. Cuen (2001)	1	('A performance comparison of five algorithms for graph isomorphism', 2001)	M. De Santo and P. Foggia and C. Sansone and M. Vento	A performance comparison of five algorithms for graph isomorphism	http://dx.doi.org/10.1016/s0167-8655(02)00253-2	10.1016/s0167-8655(02)00253-2	2001		
('P. Foggia, C. Sansone and M. Vento, A performance comparison of five algorithms for graph isomorphism, in Proc. 3rd IAPR-TC15 Workshop Graph-Based Representations in Pattern Recognition, 2001, pp. 188â€“199.', 'CITATION ONLY')	P. Foggia, C. Sansone and M. Vento, A performance comparison of five algorithms for graph isomorphism, in Proc. 3rd IAPR-TC15 Workshop Graph-Based Representations in Pattern Recognition, 2001, pp. 188â€“199.	1	('A performance comparison of five algorithms for graph isomorphism', 2001)	M. De Santo and P. Foggia and C. Sansone and M. Vento	A performance comparison of five algorithms for graph isomorphism	http://dx.doi.org/10.1016/s0167-8655(02)00253-2	10.1016/s0167-8655(02)00253-2	2001		
('Assessing the Performance of a Graph-Based Clustering Algorithm', 'None')	P. Foggia, C. Sansone, and M. Vento, â€œA performance comparison of fve algorithms for graph isomorphism,â€\x9d in Proceedings of the 3rd IAPR TC-15 Workshop on Graph-based Representations in Pattern Recognition, pp. 188â€“199, May 2001.	1	('A performance comparison of five algorithms for graph isomorphism', 2001)	Pasquale Foggia and Carlo Sansone and Mario Vento	A performance comparison of five algorithms for graph isomorphism	http://dx.doi.org/10.1007/978-3-540-72903-7_20	10.1007/978-3-540-72903-7_20	2001		
('P. Foggia, C. Sansone, M. Vento, "A Performance Comparison of Five Algorithms for Graph Isomorphism", Proc. Third IAPR TC-15 Int\'l Workshop Graph-Based Representations in Pattern Recognition, pp. 188-199, 2001.', 'CITATION ONLY')	P. Foggia, C. Sansone, M. Vento, "A Performance Comparison of Five Algorithms for Graph Isomorphism", Proc. Third IAPR TC-15 Int'l Workshop Graph-Based Representations in Pattern Recognition, pp. 188-199, 2001.	1	('A performance comparison of five algorithms for graph isomorphism', 2001)	M. De Santo and P. Foggia and C. Sansone and M. Vento	A performance comparison of five algorithms for graph isomorphism	http://dx.doi.org/10.1016/s0167-8655(02)00253-2	10.1016/s0167-8655(02)00253-2	2001		
('A strongly polynomial algorithm for linear systems having a binary solution', 2011.0)	L. G. Khachian, A polynomial algorithm for linear programming, Soviet Math. Dokl. , 20 (1979), 191â€“194	1	('A polynomial algorithm for linear programming', 1979)	L G Khachian	A polynomial algorithm for linear programming	http://dx.doi.org/10.1007/s10107-011-0445-3	10.1007/s10107-011-0445-3	1979		
('Liberalization of EU telecommunications and trade: theory, gravity equation analysis and policy implications', 2009.0)	R.A. Cochrane A possible economic basis for the gravity model J. Transp. Econ. Policy, 9 (1975)	1	('A possible economic basis for the gravity model', 1975)	R A Cochrane	A possible economic basis for the gravity model	http://dx.doi.org/10.1007/s10368-009-0125-4	10.1007/s10368-009-0125-4	1975		
('Practical Dynamic Searchable Encryption with Small Leakage', 2014.0)	O. Ruwase, M.S. Lam, A practical dynamic buffer overflow detector, in: Proceedings of the 11th Annual Network and Distributed System Security Symposium, pp. 159â€“169.	1	('A practical dynamic buffer overflow detector', None)	O Ruwase and M S Lam	A practical dynamic buffer overflow detector	http://dx.doi.org/10.14722/ndss.2014.23298	10.14722/ndss.2014.23298	None		
