hash	citation	verified	new_hash	author	title	URL	DOI	year	reference_count	is_referenced_by_count
('Unsupervised segmentation of textured images by pairwise data clustering', 'None')	Hofmann, T., Buhmann, J.M.: Multidimensional Scaling and Data Clustering. In: Advances in Neural Information Processing Systems (NIPS 7), pp. 459â€“466. Morgan Kaufmann Publishers, San Francisco (1995)	1	('Multidimensional Scaling and Data Clustering', 1995)	T. Hofmann and J.M. Buhmann	Multidimensional Scaling and Data Clustering	http://dx.doi.org/10.1109/icip.1996.560389	10.1109/icip.1996.560389	1995		
('Functional analysis and two-point differential operators', 1990.0)	Bramble JH. Multigrid methods. In Pitman Research Notes in Mathematical Sciences, Vol. 294. Longman Scientific & Technical: Essex, England, 1993.	1	('Multigrid methods', 1993)	J H Bramble	Multigrid methods	http://dx.doi.org/10.1007/bf01321862	10.1007/bf01321862	1993		
('Active Space Debris Removal System', 2017.0)	Dunkars, M. (2004): Multiple representation databases for topological information, Dissertation, ISBN: 91- 7323-100-2, KTH, Infrastructure, Stockholm, Sweden	1	('Multiple representation databases for topological information', 2004)	M Dunkars	Multiple representation databases for topological information	http://dx.doi.org/10.13111/2066-8201.2017.9.2.8	10.13111/2066-8201.2017.9.2.8	2004		
('Automatic Training Corpora Acquisition through Web Mining', 'None')	Long Jiang , Ming Zhou , Lee-Feng Chien , Cheng Niu, Named entity translation with web mining and transliteration, Proceedings of the 20th international joint conference on Artifical intelligence, p.1629-1634, January 06-12, 2007, Hyderabad, India	1	('Named entity translation with web mining and transliteration', 2007)	Long Jiang and Ming Zhou and Lee-Feng Chien and Cheng Niu	Named entity translation with web mining and transliteration	http://dx.doi.org/10.1109/wi.2005.39	10.1109/wi.2005.39	2007		
('Cross-national preference in co-authorship, references and citations', 2006.0)	W. GlÃ¤nzel. National characteristics in international scientific co-authorship. Scientometrics, 51 (2001), pp. 69-115	1	('National characteristics in international scientific co-authorship', 2001)	Wolfgang Glänzel	National characteristics in international scientific co-authorship	http://dx.doi.org/10.1007/s11192-006-0160-7	10.1007/s11192-006-0160-7	2001		
('Deep answers for naturally asked questions on the web of data', 2012.0)	Mohamed Yahya , Klaus Berberich , Shady Elbassuoni , Maya Ramanath , Volker Tresp , Gerhard Weikum, Natural language questions for the web of data, Proceedings of the 2012 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning, July 12-14, 2012, Jeju Island, Korea	1	('Natural language questions for the web of data', 2012)	Mohamed Yahya and Klaus Berberich and Shady Elbassuoni and Maya Ramanath and Volker Tresp and Gerhard Weikum	Natural language questions for the web of data	http://dx.doi.org/10.1145/2187980.2188070	10.1145/2187980.2188070	2012		
('Near-optimal and computationally efficient detectors for weak and sparse graph-structured patterns', 2013.0)	J. L. Sharpnack, A. Krishnamurthy, and A. Singh, â€œNear-optimal anomaly detection in graphs using lovasz extended scan statistic,â€\x9d in Advances in Neural Information Processing Systems (NIPS), 2013, pp. 1959â€“1967.	1	('Near-optimal anomaly detection in graphs using lovasz extended scan statistic', 1967)	James Sharpnack and Aarti Singh and A Krishnamurthy	Near-optimal anomaly detection in graphs using lovasz extended scan statistic	http://dx.doi.org/10.1109/globalsip.2013.6736910	10.1109/globalsip.2013.6736910	2013		
('M. Berlingerio, D. Koutra, T. Eliassi-Rad, C. Faloutsos, Netsimile: A scalable approach to size-independent network similarity, CoRR, vol. abs/1209.2684, 2012.', 'CITATION ONLY')	M. Berlingerio, D. Koutra, T. Eliassi-Rad, C. Faloutsos, Netsimile: A scalable approach to size-independent network similarity, CoRR, vol. abs/1209.2684, 2012.	1	('NetSimile: A Scalable Approach to Size-Independent Network Similarity', 2012)	Michele Berlingerio and Danai Koutra and Tina Eliassi-Rad and Christos Faloutsos	NetSimile: A Scalable Approach to Size-Independent Network Similarity	https://arxiv.org/abs/1209.2684	None	2012	34	40
('Michele Berlingerio, Danai Koutra, Tina Eliassi-Rad, Christos Faloutsos Netsimile: a scalable approach to size-independent network similarity CoRR (2012) abs/1209.2684. URL <http://arxiv.org/abs/1209.2684>', 'CITATION ONLY')	Michele Berlingerio, Danai Koutra, Tina Eliassi-Rad, Christos Faloutsos Netsimile: a scalable approach to size-independent network similarity CoRR (2012) abs/1209.2684. URL <http://arxiv.org/abs/1209.2684>	1	('NetSimile: A Scalable Approach to Size-Independent Network Similarity', 2012)	Michele Berlingerio and Danai Koutra and Tina Eliassi-Rad and Christos Faloutsos	NetSimile: A Scalable Approach to Size-Independent Network Similarity	https://arxiv.org/abs/1209.2684	None	2012	34	40
('Brief 279, 10 september 1709 / Letter 279, 10 September 1709', 2014.0)	J. P. Canning, E. E. Ingram, S. Nowak-Wolff, A. M. Ortiz, N. K. Ahmed, R. A. Rossi, K. R. B. Schmitt, and S. Soundarajan. Network classification and categorization. In arXiv:1709.04481, September 2017.	1	('Network classification and categorization', 2017)	J P Canning and E E Ingram and S Nowak-Wolff and A M Ortiz and N K Ahmed and R A Rossi and K R B Schmitt and S Soundarajan	Network classification and categorization	http://dx.doi.org/10.1201/b15480-11	10.1201/b15480-11	2017		
('Topological generalizations of network motifs', 2004.0)	Milo, R., Shen-Orr, S., Itzkovitz, S., Kashtan, N., Chklovskii, D. & Alon, U. (2002) Science 298, 824â€“827.	1	('Network motifs: simple building blocks of complex networks', 2002)	N. Kashtan and S. Itzkovitz and R. Milo and S Shen-Orr	Network motifs: simple building blocks of complex network	http://dx.doi.org/10.1103/physreve.70.031909	10.1103/physreve.70.031909	2002		
