hash	title	auto_verified	verified	checked	file_loc	citation	len(ref_list)
('Error correcting graph matching: on the influence of the underlying cost function', 1999)	Error correcting graph matching: on the influence of the underlying cost function	1	1	1	./bibliographies\database7.txt	H. Bunke, Error correcting graph matching: on the influence of the underlying cost function	17
('Exemplar-Based Graph Matching for Robust Facial Landmark Localization', 2013)	Exemplar-Based Graph Matching for Robust Facial Landmark Localization	1	1	1	./bibliographies\database71.txt	Feng Zhou, Jonathan Brandt, Zhe Lin, Exemplar-based Graph Matching for Robust Facial Landmark Localization	36
('Inexact graph matching for model-based recognition: Evaluation and comparison of optimization algorithms', 2005)	Inexact graph matching for model-based recognition: Evaluation and comparison of optimization algorithms	1	1	1	./bibliographies\database72.txt	Roberto M. Cesar Jr., Endika Bengoetxea, Isabelle Bloch, Pedro Larrañaga, Inexact graph matching for model-based recognition: Evaluation and comparison of optimization algorithms	41
('Moderately exponential bound for graph isomorphism', 1981)	Moderately exponential bound for graph isomorphism	1	1	1	./bibliographies\database73.txt	László Babai, Moderately exponential bound for graph isomorphism	32
('Classification of hand postures against complex backgrounds using elastic graph matching', 2002)	Classification of hand postures against complex backgrounds using elastic graph matching	1	1	1	./bibliographies\database75.txt	Jochen Triesch, Christoph von der Malsburg, Classification of hand postures against complex backgrounds using elastic graph matching	24
('Building Reconstruction by Target Based Graph Matching on Incomplete Laser Data: Analysis and Limitations', 2009)	Building Reconstruction by Target Based Graph Matching on Incomplete Laser Data: Analysis and Limitations	1	1	1	./bibliographies\database76.txt	Sander Oude Elberink, George Vosselman, Building Reconstruction by Target Based Graph Matching on Incomplete Laser Data: Analysis and Limitations	17
('Fast malware classification by automated behavioral graph matching', 2010)	Fast malware classification by automated behavioral graph matching	1	1	1	./bibliographies\database77.txt	Younghee Park, Douglas Reeves, Vikram Mulukutla, Balaji Sundaravel, Fast malware classification by automated behavioral graph matching	18
('Improved Matchmaking Algorithm for Semantic Web Services Based on Bipartite Graph Matching', 2007)	Improved Matchmaking Algorithm for Semantic Web Services Based on Bipartite Graph Matching	1	1	1	./bibliographies\database79.txt	Umesh Bellur,  Roshan Kulkarni, Improved Matchmaking Algorithm for Semantic Web Services Based on Bipartite Graph Matching	21
('A graph distance metric combining maximum common subgraph and minimum common supergraph', 2001)	A graph distance metric combining maximum common subgraph and minimum common supergraph	1	1	1	./bibliographies\database8.txt	Mirtha-Lina Fernandez, Gabriel Valiente, A graph distance metric combining maximum common subgraph and minimum common supergraph	11
('Robust textual inference via graph matching', 2005)	Robust textual inference via graph matching	1	1	1	./bibliographies\database80.txt	Aria D. Haghighi, Andrew Y. Ng, Christopher D. Manning, Robust textual inference via graph matching	14
('Dense non-rigid surface registration using high-order graph matching', 2010)	Dense non-rigid surface registration using high-order graph matching	1	1	1	./bibliographies\database81.txt	Yun Zeng,  Chaohui Wang,  Yang Wang,  Xianfeng Gu,  Dimitris Samaras,  Nikos Paragios, Dense non-rigid surface registration using high-order graph matching	34
('Conceptual Graph Matching for Semantic Search', 2002)	Conceptual Graph Matching for Semantic Search	1	1	1	./bibliographies\database82.txt	Jiwei Zhong, Haiping Zhu, Jianming Li, Yong Yu, Conceptual Graph Matching for Semantic Search	16
('Multiple sequence alignment using partial order graphs', 2002)	Multiple sequence alignment using partial order graphs	1	1	1	./bibliographies\database83.txt	Christopher Lee, Catherine Grasso, Mark F. Sharlow, Multiple sequence alignment using partial order graphs	25
('Elastic Bunch Graph Matching', 2014)	Elastic Bunch Graph Matching	1	1	1	./bibliographies\database84.txt	David S. Bolme, Elastic Bunch Graph Matching	18
('Graph-based methods for analysing networks in cell biology', 2006)	Graph-based methods for analysing networks in cell biology	1	1	1	./bibliographies\database85.txt	Tero Aittokallio, Benno Schwikowski, Graph-based methods for analysing networks in cell biology	100
('Multiple Alignment, Communication Cost, and Graph Matching', 1992)	Multiple Alignment, Communication Cost, and Graph Matching	1	1	1	./bibliographies\database86.txt	Pavel A. Pevzner, Multiple Alignment Communication Cost and Graph Matching	76
('BIG-ALIGN: Fast Bipartite Graph Alignment', 2013)	BIG-ALIGN: Fast Bipartite Graph Alignment	1	1	1	./bibliographies\database87.txt	Danai Koutra, Hanghang Tong, David Lubensky, BIG-ALIGN: Fast Bipartite Graph Alignment	29
('An in-depth comparison of subgraph isomorphism algorithms in graph databases', 2012)	An in-depth comparison of subgraph isomorphism algorithms in graph databases	1	1	1	./bibliographies\database88.txt	Jinsoo Lee, Wook-Shin Han, Romans Kasperovics, Jeong-Hoon Lee, An in-depth comparison of subgraph isomorphism algorithms in graph databases	20
('Weighted graph comparison techniques for brain connectivity analysis', 2013)	Weighted graph comparison techniques for brain connectivity analysis	1	1	1	./bibliographies\database89.txt	Basak Alper, Benjamin Bac, Nathalie Henry Rich, Tobias Isenber, Jean-Daniel Fekete, Weighted graph comparison techniques for brain connectivity analysis	43
('An eigendecomposition approach to weighted graph matching problems', 1988)	An eigendecomposition approach to weighted graph matching problems	1	1	1	./bibliographies\database9.txt	Shinji Umeyama, An eigendecomposition approach to weighted graph matching problems	9
('Complex network measures of brain connectivity: Uses and interpretations', 2010)	Complex network measures of brain connectivity: Uses and interpretations	1	1	1	./bibliographies\database90.txt	Mikail Rubinov, Olaf Sporns, Complex network measures of brain connectivity: Uses and interpretations	66
('On the feasibility of precoding-based network alignment for three unicast sessions', 2012)	On the feasibility of precoding-based network alignment for three unicast sessions	1	1	1	./bibliographies\database91.txt	Chun Meng, Abinesh Ramakrishnan, Athina Markopoulou, Syed Ali Jafar, On the feasibility of precoding-based network alignment for three unicast sessions	13
('Message-Passing Algorithms for Sparse Network Alignment', 2013)	Message-Passing Algorithms for Sparse Network Alignment	1	1	1	./bibliographies\database92.txt	Mohsen Bayati, David F. Gleich, Amin Saberi, Ying Wang, Message-Passing Algorithms for Sparse Network Alignment	46
('Inferring the human microRNA functional similarity and functional network based on microRNA-associated diseases', 2010)	Inferring the human microRNA functional similarity and functional network based on microRNA-associated diseases	1	1	1	./bibliographies\database93.txt	Dong Wang, Juan Wang, Ming Lu, Fei Song, Qinghua Cui, Inferring the human microRNA functional similarity and functional network based on microRNA-associated diseases	24
('Similarity computation strategies in the microRNA-disease network: a survey', 2015)	Similarity computation strategies in the microRNA-disease network: a survey	1	1	1	./bibliographies\database94.txt	Quan Zou, Jinjin Li, Li Song, Xiangxiang Zeng, Guohua Wang, Similarity computation strategies in the microRNA-disease network: a survey	67
('A Guide to Selecting a Network Similarity Method', 2014)	A Guide to Selecting a Network Similarity Method	1	1	1	./bibliographies\database95.txt	Sucheta Soundarajan, Tina Eliassi-Rad, Brian Gallagher, A Guide to Selecting a Network Similarity Method	18
('Efficient Graph Similarity Search Over Large Graph Databases', 2015)	Efficient Graph Similarity Search Over Large Graph Databases	1	1	1	./bibliographies\database96.txt	Weiguo Zheng, Lei Zou, Xiang Lian, Dong Wang, Dongyan Zhao, Efficient Graph Similarity Search Over Large Graph Databases	39
('Efficient processing of graph similarity queries with edit distance constraints', 2013)	Efficient processing of graph similarity queries with edit distance constraints	1	1	1	./bibliographies\database97.txt	Xiang Zhao, Chuan Xiao, Xuemin Lin, Wei Wang, Yoshiharu Ishikawa, Efficient processing of graph similarity queries with edit distance constraints	44
('A graph-matching kernel for object categorization', 2011)	A graph-matching kernel for object categorization	1	1	1	./bibliographies\database98.txt	Olivier Duchenne, Armand Joulin, Jean Ponce, A graph-matching kernel for object categorization	39
('A (sub)graph isomorphism algorithm for matching large graphs', 2004)	A (sub)graph isomorphism algorithm for matching large graphs	1	1	1	./bibliographies\database99.txt	L.P. Cordella, P. Foggia, C. Sansone, M. Vento, A (sub)graph isomorphism algorithm for matching large graphs	20
('Efficient k-nearest neighbors search in graph space', 2018)	Efficient k-nearest neighbors search in graph space	1	1	1	./bibliographies\database171.txt	Zeina Abu-Aisheh, Romain Raveaux, Jean-Yves Ramel, Efficient k-nearest neighbors search in graph space	31
('On the exact computation of the graph edit distance', 2018)	On the exact computation of the graph edit distance	1	1	1	./bibliographies\database172.txt	David B. Blumenthal, Johann Gamper, On the exact computation of the graph edit distance	28
('Efficient Mining of Frequent Patterns on Uncertain Graphs', 2018)	Efficient Mining of Frequent Patterns on Uncertain Graphs	1	1	1	./bibliographies\database173.txt	Yifan Chen, Xiang Zhao, Xuemin Lin, Yang Wang, Deke Guo, Efficient Mining of Frequent Patterns on Uncertain Graphs	49
('MCS-GPM: Multi-Constrained Simulation Based Graph Pattern Matching in Contextual Social Graphs', 2018)	MCS-GPM: Multi-Constrained Simulation Based Graph Pattern Matching in Contextual Social Graphs	1	1	1	./bibliographies\database174.txt	Guanfeng Liu, Yi Liu, Kai Zheng, An Liu, Zhixu Li, Yang Wang, Xiaofang Zhou, MCS-GPM: Multi-Constrained Simulation Based Graph Pattern Matching in Contextual Social Graphs	45
('SSRW: A Scalable Algorithm for Estimating Graphlet Statistics Based on Random Walk', 2018)	SSRW: A Scalable Algorithm for Estimating Graphlet Statistics Based on Random Walk	1	1	1	./bibliographies\database176.txt	Chen Yang, Min Lyu, Yongkun Li, Qianqian Zhao, Yinlong Xu, SSRW: A Scalable Algorithm for Estimating Graphlet Statistics Based on Random Walk	26
('Answering Why-Not Questions on Structural Graph Clustering', 2018)	Answering Why-Not Questions on Structural Graph Clustering	1	1	1	./bibliographies\database177.txt	Chuanyu Zong, Xiufeng Xia, Bin Wang, Xiaochun Yang, Jiajia Li, Xiangyu Liu, Rui Zhu, Answering Why-Not Questions on Structural Graph Clustering	16
('Scientific collaboration and endorsement: Network analysis of coauthorship and citation networks', 2011)	Scientific collaboration and endorsement: Network analysis of coauthorship and citation networks	1	1	1	./bibliographies\database178.txt	Ying Ding, Scientific collaboration and endorsement: Network analysis of coauthorship and citation networks	55
('Efficient and Scalable Mining of Frequent Subgraphs Using Distributed Graph Processing Systems', 2018)	Efficient and Scalable Mining of Frequent Subgraphs Using Distributed Graph Processing Systems	1	1	1	./bibliographies\database179.txt	Tongtong Wang, Hao Huang, Wei Lu, Zhe Peng, Xiaoyong Du, Efficient and Scalable Mining of Frequent Subgraphs Using Distributed Graph Processing Systems	24
('A Survey on Graph Database Management Techniques for Huge Unstructured Data', 2018)	A Survey on Graph Database Management Techniques for Huge Unstructured Data	1	1	1	./bibliographies\database180.txt	N. S. Patil, P. Kiran, N. P. Kavya, K. M. Naresh Patel, A Survey on Graph Database Management Techniques for Huge Unstructured Data.	46
('Unique description of chemical structures based on hierarchically ordered extended connectivities (HOC procedures). V. New topological indices, ordering of graphs, and recognition of graph similarity', 1984)	Unique description of chemical structures based on hierarchically ordered extended connectivities (HOC procedures). V. New topological indices, ordering of graphs, and recognition of graph similarity	1	1	1	./bibliographies\database181.txt	Ovanes Mekenyan, Danail Bonchev, Alexandru T. Balaban, Unique description of chemical structures based on hierarchically ordered extended connectivities (HOC procedures). V. New topological indices ordering of graphs and recognition of graph similarity	30
('Robust Road Map Inference through Network Alignment of Trajectories', 2018)	Robust Road Map Inference through Network Alignment of Trajectories	1	1	1	./bibliographies\database182.txt	Rade Stanojevic, Sofiane Abbar, Saravanan Thirumuruganathan, Sanjay Chawla, Fethi Filali, Ahid Aleimat, Robust Road Map Inference through Network Alignment of Trajectories	23
('Determining similarity in histological images using graph-theoretic description and matching methods for content-based image retrieval in medical diagnostics', 2012)	Determining similarity in histological images using graph-theoretic description and matching methods for content-based image retrieval in medical diagnostics	1	1	1	./bibliographies\database185.txt	Harshita Sharma, Alexander Alekseychuk, Peter Leskovsky, Olaf Hellwich, RS Anand, Norman Zerbe, Peter Hufnagl, Determining similarity in histological images using graph-theoretic description and matching methods for content-based image retrieval in medical diagnostics	29
('Local versus global biological network alignment', 2016)	Local versus global biological network alignment	1	1	1	./bibliographies\database46.txt	Lei Meng, Aaron Striegel, Tijana Milenković, Local versus global biological network alignment	31
('A multi-seed dynamic local graph matching model for tracking of densely packed cells across unregistered microscopy image sequences', 2018)	A multi-seed dynamic local graph matching model for tracking of densely packed cells across unregistered microscopy image sequences	1	1	1	./bibliographies\database190.txt	Min Liu, Jieqin Li, Weili Qian, A multi-seed dynamic local graph matching model for tracking of densely packed cells across unregistered microscopy image sequences	30
('We Know Who You Are: Discovering Similar Groups Across Multiple Social Networks', 2018)	We Know Who You Are: Discovering Similar Groups Across Multiple Social Networks	1	1	1	./bibliographies\database191.txt	Xiaoming Liu, Chao Shen, Xiaohong Guan, Yadong Zhou, We Know Who You Are: Discovering Similar Groups Across Multiple Social Networks	43
('GLAlign: A Novel Algorithm for Local Network Alignment', 2018)	GLAlign: A Novel Algorithm for Local Network Alignment	1	1	1	./bibliographies\database192.txt	Marianna Milano, Pietro Hiram Guzzi, Mario Cannataro, GLAlign: A Novel Algorithm for Local Network Alignment	43
('Graph-based keyword spotting in historical manuscripts using Hausdorff edit distance', 2018)	Graph-based keyword spotting in historical manuscripts using Hausdorff edit distance	1	1	1	./bibliographies\database39.txt	Mohammad Reza Ameri, Michael Stauffer, Kaspar Riesen, Tien D. Bui, Andreas Fischer, Graph-based keyword spotting in historical manuscripts using Hausdorff edit distance	38
('Visual Detection of Structural Changes in Time-Varying Graphs Using Persistent Homology', 2018)	Visual Detection of Structural Changes in Time-Varying Graphs Using Persistent Homology	1	1	1	./bibliographies\database195.txt	Mustafa Hajij, Bei Wang, Carlos Scheidegger, Paul Rosen, Visual Detection of Structural Changes in Time-Varying Graphs Using Persistent Homology	55
('Incremental B-spline deformation model for geometric graph matching', 2018)	Incremental B-spline deformation model for geometric graph matching	1	1	1	./bibliographies\database197.txt	Miguel Amável Pinheiro, Jan Kybic, Incremental B-spline deformation model for geometric graph matching	14
('Mutual Learning Between Saliency and Similarity: Image Cosegmentation via Tree Structured Sparsity and Tree Graph Matching', 2018)	Mutual Learning Between Saliency and Similarity: Image Cosegmentation via Tree Structured Sparsity and Tree Graph Matching	1	1	1	./bibliographies\database200.txt	Yan Ren, Licheng Jiao, Shuyuan Yang, Shuang Wang, Mutual Learning Between Saliency and Similarity: Image Cosegmentation via Tree Structured Sparsity and Tree Graph Matching	75
('Using Queries as Schema-Templates for Graph Databases', 2018)	Using Queries as Schema-Templates for Graph Databases	1	1	1	./bibliographies\database201.txt	Stephan Mennicke, Jan-Christoph Kalo, Wolf-Tilo Balke, Using Queries as Schema-Templates for Graph Databases	29
('Demadroid: Object Reference Graph-Based Malware Detection in Android', 2018)	Demadroid: Object Reference Graph-Based Malware Detection in Android	1	1	1	./bibliographies\database202.txt	Huanran Wang, Hui He, Weizhe Zhang, Demadroid: Object Reference Graph-Based Malware Detection in Android	51
('MRI slice stacking using manifold alignment and wave kernel signatures', 2018)	MRI slice stacking using manifold alignment and wave kernel signatures	1	1	1	./bibliographies\database204.txt	James R. Clough, Daniel R. Balfour, Paul K. Marsden, Claudia Prieto, Andrew J. Reader, Andrew P. King, MRI slice stacking using manifold alignment and wave kernel signatures	17
('Methods and Implementations of Road-Network Matching', 2009)	Methods and Implementations of Road-Network Matching	0	1	1	./bibliographies\database131.txt	Meng Zhang, Methods and Implementations of Road-Network Matching	0
('Robust Graph Alignment Methods for Textual Inference and Machine Reading', 2007)	Robust Graph Alignment Methods for Textual Inference and Machine Reading	0	1	1	./bibliographies\database123.txt	Marie-Catherine de Marneffe, Trond Grenager, Bill MacCartney, Daniel Cer, Daniel Ramage, Chloe Kiddon, Christopher D. Manning, Robust Graph Alignment Methods for Textual Inference and Machine Reading	0
('A multigrid method based on graph matching for convection-diffusion equations', 2002)	A multigrid method based on graph matching for convection-diffusion equations	0	1	1	./bibliographies\database102.txt	HwanHo Kim, Jinchao Xu, Ludmil Zikatanov, A multigrid method based on graph matching for convection–diffusion equations	41
('Structure\\u2212Activity Relationship Anatomy by Network-like Similarity Graphs and Local Structure\\u2212Activity Relationship Indices', 2008)	Structure\u2212Activity Relationship Anatomy by Network-like Similarity Graphs and Local Structure\u2212Activity Relationship Indices	0	1	1	./bibliographies\database142.txt	Mathias Wawer, Lisa Peltason, Nils Weskamp, Andreas Teckentrup and Jürgen Bajorath, Structure−Activity Relationship Anatomy by Network-like Similarity Graphs and Local Structure−Activity Relationship Indices	0
('Scheduling and Automatic Parallelization. Alain Darte, Yves Robert and Fr\\ufffdd\\ufffdric Vivien, Birkh\\ufffduser, New York, ISBN 0-8176-4149-1', 2002)	Scheduling and Automatic Parallelization. Alain Darte, Yves Robert and Fr\ufffdd\ufffdric Vivien, Birkh\ufffduser, New York, ISBN 0-8176-4149-1	0	1	1	./bibliographies\database169.txt	Alain Darte, Yves Robert, A Graph-Theoretic Approach to the Alignment Problem	0
('NetSimile: A Scalable Approach to Size-Independent Network Similarity', 2012)	NetSimile: A Scalable Approach to Size-Independent Network Similarity	0	1	1	./bibliographies\database50.txt	Michele Berlingerio, Danai Koutra, Tina Eliassi-Rad, Christos Faloutsos, NetSimile: A Scalable Approach to Size-Independent Network Similarity	0
('Software verification and graph similarity for automated evaluation of students� assignments', 2013)	Software verification and graph similarity for automated evaluation of students� assignments	0	1	1	./bibliographies\database55.txt	Milena Vujošević-Jani�\x8dić, Mladen Nikolić, DušanTošić, ViktorKuncak, Software verification and graph similarity for automated evaluation of students' assignments	88
('Unsupervised Domain Adaptation Using Regularized Hyper-Graph Matching', 2018)	Unsupervised Domain Adaptation Using Regularized Hyper-Graph Matching	0	1	1	./bibliographies\database194.txt	Debasmit Das, C. S. George Lee, Unsupervised Domain Adaptation Using Regularized Hyper-Graph Matching	0
('Effect of antipsychotics on community structure in functional brain networks', 2018)	Effect of antipsychotics on community structure in functional brain networks	0	1	0	./bibliographies\database188.txt	Ryan Flanagan, Lucas Lacasa, Emma K. Towlson, Sang Hoon Lee, Mason A. Porter, Effect of antipsychotics on community structure in functional brain networks	0
('Anomaly and Change Detection in Graph Streams through Constant-Curvature Manifold Embeddings', 2018)	Anomaly and Change Detection in Graph Streams through Constant-Curvature Manifold Embeddings	0	1	1	./bibliographies\database170.txt	Daniele Zambo, Lorenzo Liv, Cesare Alippi, Anomaly and Change Detection in Graph Streams through Constant-Curvature Manifold Embeddings	0
('Gene Coexpression Network Alignment and Conservation of Gene Modules between Two Grass Species: Maize and Rice', 2011)	Gene Coexpression Network Alignment and Conservation of Gene Modules between Two Grass Species: Maize and Rice	0	1	1	./bibliographies\database134.txt	Stephen P. Ficklin, Frank A. Feltus, Gene Co-Expression Network Alignment and Conservation of Gene Modules Between Two Grass Species: Maize (Zea mays) and Rice (Oryza sativa)	64
('From the connectivity index to various randi\\u0107-Type descriptors', 2018)	From the connectivity index to various randi\u0107-Type descriptors	0	1	1	./bibliographies\database199.txt	Y. Ma, S. Cao, Y. Shi, I. Gutman, M. Dehmer, Boris Furtula, From the connectivity index to various randić-Type descriptors	0
('Survey on the Graph Alignment Problem and a Benchmark of Suitable Algorithms', 2013)	Survey on the Graph Alignment Problem and a Benchmark of Suitable Algorithms	0	1	1	./bibliographies\database41.txt	Christoph Dopmann, Survey on the Graph Alignment Problem and a Benchmark of Suitable Algorithms	0
('Spectrally Robust Graph Isomorphism', 2018)	Spectrally Robust Graph Isomorphism	0	1	1	./bibliographies\database175.txt	Alexandra Kolla, Ioannis Koutis, Vivek Madan, Ali Kemal Sinop, Spectrally Robust Graph Isomorphism	0
('Trust-Based Recommendation Based on Graph Similarity', 2010)	Trust-Based Recommendation Based on Graph Similarity	0	1	1	./bibliographies\database145.txt	Chung-Wei Hang, Munindar P. Singh, Trust-Based Recommendation Based on Graph Similarity	0
('NTSMDA: prediction of miRNA�disease associations by integrating network topological similarity', 2016)	NTSMDA: prediction of miRNA�disease associations by integrating network topological similarity	0	1	1	./bibliographies\database138.txt	Dongdong Sun, Ao Li, Huanqing Feng, Minghui Wang, NTSMDA: prediction of miRNA–disease associations by integrating network topological similarity	46
('An Integer Projected Fixed Point Method for Graph Matching and MAP Inference', 2009)	An Integer Projected Fixed Point Method for Graph Matching and MAP Inference	0	1	1	./bibliographies\database159.txt	Marius Leordeanu, Martial Hebert, Rahul Sukthankar, An Integer Projected Fixed Point Method for Graph Matching and MAP Inference	0
('Detecting anomalies in people�s trajectories using spectral graph analysis', 2011)	Detecting anomalies in people�s trajectories using spectral graph analysis	0	1	1	./bibliographies\database156.txt	Simone Calderara, Uri Heinemann, Andrea Prati, Rita Cucchiara, Naftali Tishby, Detecting anomalies in people’s trajectories using spectral graph analysis	50
('On random graphs I', 1959)	On random graphs I	0	1	1	./bibliographies\database4.txt	P. Erdos, A. Renyi, On random graphs I	0
('Unsupervised Alignment of Embeddings with Wasserstein Procrustes', 2018)	Unsupervised Alignment of Embeddings with Wasserstein Procrustes	0	1	1	./bibliographies\database196.txt	Edouard Grave, Armand Joulin, Quentin Berthet, Unsupervised Alignment of Embeddings with Wasserstein Procrustes	0
('Large-scale prediction of disulphide bridges using kernel methods, two-dimensional recursive neural networks, and weighted graph matching', 2005)	Large-scale prediction of disulphide bridges using kernel methods, two-dimensional recursive neural networks, and weighted graph matching	0	1	1	./bibliographies\database74.txt	Jianlin Cheng, Hiroto Saigo, Pierre Baldi, Large�\x90scale prediction of disulphide bridges using kernel methods two�\x90dimensional recursive neural networks and weighted graph matching	50
('Graphlets versus node2vec and struc2vec in the task of network alignment', 2018)	Graphlets versus node2vec and struc2vec in the task of network alignment	0	1	1	./bibliographies\database189.txt	Shawn Gu, Tijana Milenkovic, Graphlets versus node2vec and struc2vec in the task of network alignment	0
('Fast Incremental von Neumann Graph Entropy Computation: Theory, Algorithm, and Applications', 2018)	Fast Incremental von Neumann Graph Entropy Computation: Theory, Algorithm, and Applications	0	1	1	./bibliographies\database203.txt	Pin-Yu Chen, Lingfei Wu, Sijia Liu, Indika Rajapakse, Fast Incremental von Neumann Graph Entropy Computation: Theory Algorithm and Applications	0
('Efficient Graph Matching Algorithms', 1995)	Efficient Graph Matching Algorithms	0	1	1	./bibliographies\database163.txt	Bruno T. Messmer, Efficient Graph Matching Algorithms	0
('Graph homomorphism revisited for graph matching', 2010)	Graph homomorphism revisited for graph matching	0	1	1	./bibliographies\database70.txt	Wenfei Fan, Jianzhong Li, Shuai Ma, Hongzhi Wang, Yinghui Wu, Graph homomorphism revisited for graph matching	0
('Predicting Graph Categories from Structural Properties', 2018)	Predicting Graph Categories from Structural Properties	0	1	1	./bibliographies\database184.txt	James P. Canning, Emma E. Ingram, Sammantha Nowak-Wolff, Adriana M. Ortiz, Nesreen K. Ahmed, Ryan A. Rossi, Karl R. B. Schmitt, Sucheta Soundarajan, Predicting Graph Categories from Structural Properties	0
('NETAL: a new graph-based method for global alignment of protein�protein interaction networks', 2013)	NETAL: a new graph-based method for global alignment of protein�protein interaction networks	0	1	1	./bibliographies\database19.txt	Neyshabur B, Khadem A, Hashemifar S, Arab SS, NETAL: a new graph-based method for global alignment of protein-protein interaction networks	32
('Heterogeneous Subgraph Features for Information Networks', 2018)	Heterogeneous Subgraph Features for Information Networks	0	1	1	./bibliographies\database193.txt	Andreas Spitz, Diego Costa, Kai Chen, Jan Greulich, Johanna Geiß, Stefan Wiesberg, Michael Gertz, Heterogeneous Subgraph Features for Information Networks	0
('Graph alignment for semi-supervised semantic role labeling', 2009)	Graph alignment for semi-supervised semantic role labeling	0	1	1	./bibliographies\database129.txt	Hagen Fürstenau, Mirella Lapata, Graph alignment for semi-supervised semantic role labeling	0
('Graph Matching Iris Image Blocks with Local Binary Pattern', 2006)	Graph Matching Iris Image Blocks with Local Binary Pattern	0	1	1	./bibliographies\database78.txt	Zhenan Sun, Tieniu Tan, Xianchao Qiu, Graph Matching Iris Image Blocks with Local Binary Pattern	0
('Efficient graphlet kernels for large graph comparison', 2009)	Efficient graphlet kernels for large graph comparison	0	1	1	./bibliographies\database32.txt	Nino Shervashidze, S.V.N. Vishwanathan, Tobias H. Petri, Kurt Mehlhorn, Karsten M. Borgwardt, Efficient graphlet kernels for large graph comparison	0
('Extraction of Correlated Gene Clusters by Multiple Graph Comparison', 2001)	Extraction of Correlated Gene Clusters by Multiple Graph Comparison	0	1	1	./bibliographies\database127.txt	Akihiro Nakaya, Susumu Goto, Minoru Kanehisa, Extraction of Correlated Gene Clusters by Multiple Graph Comparison	0
('Similarity-Based Image Browsing', 2000)	Similarity-Based Image Browsing	0	1	1	./bibliographies\database135.txt	Chaomei Chen, George Gagaudakis, Paul Rosin, Similarity-Based Image Browsing	0
('Developments on Solutions of\xa0the\xa0Normalized-Cut-Clustering Problem Without Eigenvectors', 2018)	Developments on Solutions of�the�Normalized-Cut-Clustering Problem Without Eigenvectors	0	1	1	./bibliographies\database198.txt	Leandro Leonardo Lorente-Leyva, Israel David Herrera-Granda, Paul D. Rosero-Montalvo, Karina L. Ponce-Guevara, Andrés Eduardo Castro-Ospina, Miguel A. Becerra, Diego Hernán Peluffo-Ordóñez, José Luis Rodríguez-Sotelo, Developments on Solutions of the Normalized-Cut-Clustering Problem Without Eigenvectors	13
('Algorithms for Graph Similarity and Subgraph Matching', 2011)	Algorithms for Graph Similarity and Subgraph Matching	0	1	1	./bibliographies\database54.txt	Danai Koutra, Ankur Parikh, Aaditya Ramdas, Jing Xiang, Algorithms for Graph Similarity and Subgraph Matching	0
('Unsupervised Name Disambiguation via Social Network Similarity', 2005)	Unsupervised Name Disambiguation via Social Network Similarity	0	1	1	./bibliographies\database167.txt	Bradley Malin, Unsupervised Name Disambiguation via Social Network Similarity∗	0
('Almost every n-vertex graph is determined by its 3log2 n-vertex subgraphs', 2018)	Almost every n-vertex graph is determined by its 3log2 n-vertex subgraphs	0	1	1	./bibliographies\database187.txt	Ameneh Farhadian, Almost every n-vertex graph is determined by its 3log2 n-vertex subgraphs	0
('A Quantum Observable for the Graph Isomorphism Problem', 1999)	A Quantum Observable for the Graph Isomorphism Problem	0	1	1	./bibliographies\database103.txt	Mark Ettinger, Peter Hoyer, A Quantum Observable for the Graph Isomorphism Problem	0
('Layered graph matching with composite cluster sampling', 2010)	Layered graph matching with composite cluster sampling	0	1	1	./bibliographies\database66.txt	Liang Lin,  Xiaobai Liu,  Song-Chun Zhu, Layered Graph Matching with Composite Cluster Sampling	0
('A novel subgraph                 $$K^{+}$$                                                                                        K                            +                                                                        -isomorphism method in social network based on graph similarity detection', 2017)	A novel subgraph                 $$K^{+}$$                                                                                        K                            +                                                                        -isomorphism method in social network based on graph similarity detection	0	1	1	./bibliographies\database53.txt	Huan Rong, Tinghuai Ma, Meili Tang, Jie Cao, A novel subgraph  K+-isomorphism method in social network based on graph similarity detection	45
('On a certain distance between isomorphism classes of graphs', 1975)	On a certain distance between isomorphism classes of graphs	0	1	1	./bibliographies\database15.txt	Bohdan Zelinka, On a certain distance between isomorphism classes of graphs	0
('SURREAL: SUbgraph Robust REpresentAtion Learning', 2018)	SURREAL: SUbgraph Robust REpresentAtion Learning	0	1	1	./bibliographies\database186.txt	Saba A. Al-Sayouri, Danai Koutra, Evangelos E. Papalexakis, Sarah S. Lam, SURREAL: SUbgraph Robust REpresentAtion Learning	0
('(Nearly) Efficient Algorithms for the Graph Matching Problem on Correlated Random Graphs', 2018)	(Nearly) Efficient Algorithms for the Graph Matching Problem on Correlated Random Graphs	0	1	1	./bibliographies\database183.txt	Boaz Barak, Chi-Ning Chou, Zhixian Lei, Tselil Schramm, Yueqi Sheng, (Nearly) Efficient Algorithms for the Graph Matching Problem on Correlated Random Graphs	0
('Quantum search algorithm for graph isomorphism problem', 2008)	Quantum search algorithm for graph isomorphism problem	0	0.0	1	./bibliographies\database202.txt	S. Fortin, “Te graph isomorphism problem,�\x9d 1996.	6
('Recent developments in graph matching', None)	Recent developments in graph matching	1	1	0		H. Bunke, Recent developments in graph matching	65
('A new algorithm for inexact graph matching', None)	A new algorithm for inexact graph matching	1	1	0		A. Hlaoui, Shengrui Wang, A new algorithm for inexact graph matching	6
