hash	auto_verified	verified	checked	citation	title	author	year
|('An O(v||v|| c ||E||) algoithm for finding maximum matching in general graphs', 1980.0)|	0.0	0.0	0.0	MICAL., S., AND V~ZIRAN~, V V. An O( V/{ V} " I El) algorithm for finding maximum matching m general graphs. In Proceedings of the 21st Annual Symposium on the Foundations of Computer Science. IEEE, New York, 1980, pp. I7-27.   	|An O(v||v|| c ||E||) algoithm for finding maximum matching in general graphs|	Silvio Micali and Vijay V. Vazirani	1980.0
('None', 'CITATION ONLY')	0.0	0.0	0	None	None	None	None
