hash	verified	citation	URL	DOI	year	title	author
('GÃ¶sseln, G.v. & Sester, M. (2004). Intergration of geoscientific data sets and the German digital map using a matching approach, XXth ISPRS Congress, Istanbul, Turkey, pp. 1249-1254, July 12-23, 2004', 'CITATION ONLY')	0.0	GÃ¶sseln, G.v. & Sester, M. (2004). Intergration of geoscientific data sets and the German digital map using a matching approach, XXth ISPRS Congress, Istanbul, Turkey, pp. 1249-1254, July 12-23, 2004	http://dx.doi.org/10.1016/s0924-2716(04)00027-9	10.1016/s0924-2716(04)00027-9	2004.0	Announcement of ISPRS XXth Congress	None
('Zhang, M., Meng, L. & Qian, H. (2007). A structure-oriented matching approach for the integration of different road networks, CD-Proc. of the XXIII International Cartographic Conference (ICC), Incremental Updating and Versioning of Spatial Data, Moscow, Russia, August 4-10, 2007', 'CITATION ONLY')	0.0	Zhang, M., Meng, L. & Qian, H. (2007). A structure-oriented matching approach for the integration of different road networks, CD-Proc. of the XXIII International Cartographic Conference (ICC), Incremental Updating and Versioning of Spatial Data, Moscow, Russia, August 4-10, 2007	http://dx.doi.org/10.1117/12.761373	10.1117/12.761373	2007.0	Matching of road data with different scales for updating	Yungang Hu and Jun Chen and Zhilin Li and Renliang Zhao
('On the semantic equivalence of heterogeneous representations in multimodel multidatabase systems', 1991.0)	0.0	Sheth, A. (1991). Semantic issues in Multidatabase Systesms, SIGMOD Record, special issue on Semantic Issues in Multidatabases, ed. 20(4), 1991	http://dx.doi.org/10.1145/141356.141370	10.1145/141356.141370	1991.0	On the semantic equivalence of heterogeneous representations in multimodel multidatabase systems	Dipayan Gangopadhyay
('5th National Decennial Irrigation Conference Proceedings, 5-8 December 2010, Phoenix Convention Center, Phoenix, Arizona USA', 2010.0)	0.0	Gabay, Y., Doytsher, Y., 1994. Automatic adjustment of line maps. In: Proceedings of the GIS/LISâ€™94 Annual Convention, Arizona, Phoenix, USA, pp. 333â€“341	http://dx.doi.org/10.13031/ndci2010.2013	10.13031/ndci2010.2013	2010.0	5th National Decennial Irrigation Conference Proceedings, 5-8 December 2010, Phoenix Convention Center, Phoenix, Arizona USA	None
('Novak, K., (1992). Rectification of digital imagery, Photogrammetric Engineering and Remote Sensing 58, pp. 339-344', 'CITATION ONLY')	0.0	Novak, K., (1992). Rectification of digital imagery, Photogrammetric Engineering and Remote Sensing 58, pp. 339-344	http://dx.doi.org/10.14358/pers.71.5.595	10.14358/pers.71.5.595	2005.0	Agricultural Applications of High-Resolution Digital Multispectral Imagery	Georgina Warren and Graciela Metternicht
('Doytsher, Y., Filin, S. & Ezra, E. (2001). Transformation of Datasets in a Linear-based Map Conflation Framework, Surveying and Land Information Systems, Vol. 61, No. 3, 2001, pp.159-169', 'CITATION ONLY')	0.0	Doytsher, Y., Filin, S. & Ezra, E. (2001). Transformation of Datasets in a Linear-based Map Conflation Framework, Surveying and Land Information Systems, Vol. 61, No. 3, 2001, pp.159-169	http://dx.doi.org/10.1061/(asce)0733-9453(1998)124:4(156)	10.1061/(asce)0733-9453(1998)124:4(156)	1998.0	Estimating Accuracy of Photogrammetric Data—Mechanism and Implementation	Sagi Filin and Yerahmiel Doytsher
('', 1984.0)	0.0	Rosen, B., Saalfeld, A., 1985. Match criteria for automatic alignment. In: Proceedings of Auto-Carto VII, American Congress on Surveying and Mapping and American Society for Photogrammetry and Remote Sensing, pp. 1â€“20	http://dx.doi.org/10.4287/jsprs.23.59	10.4287/jsprs.23.59	1984.0		None
('Automated revsion of GIS databases', 2000.0)	0.0	Brown, J., Rao, A., Baran, J. 1995. Automated GIS conflation: coverage update problems and solutions. In: Proceedings of Geographic Information Systems for Transportation Symposium (GIS-T), Sparks, Nevada, USA, pp. 220â€“229	http://dx.doi.org/10.1145/355274.355293	10.1145/355274.355293	2000.0	Automated revsion of GIS databases	Volker Walter and Dieter Fritsch
('Sub-pixel Target Mapping from Soft-classified, Remotely Sensed Imagery', 2005.0)	0.0	L.M.G. Fonseca, B.S. Manjunath Registration techniques for multisensor remotely sensed imagery Photogrammetric Engineering and Remote Sensing, 62 (1996), pp. 1049-1056	http://dx.doi.org/10.14358/pers.71.7.839	10.14358/pers.71.7.839	2005.0	Sub-pixel Target Mapping from Soft-classified, Remotely Sensed Imagery	Peter M. Atkinson
('Nystuen, J.D., Frank, A.I., Frank, Jr., L., (1997). Assessing topological similarity of spatial networks, Proc. of International Conference on Interoperating Geographic Information Systems, Santa Barbara, California, USA', 'CITATION ONLY')	0.0	Nystuen, J.D., Frank, A.I., Frank, Jr., L., (1997). Assessing topological similarity of spatial networks, Proc. of International Conference on Interoperating Geographic Information Systems, Santa Barbara, California, USA	http://dx.doi.org/10.5334/bax.g	10.5334/bax.g	2016.0	Semantic Challenges for Volunteered Geographic Information	None
('Linguistique appliquée et traitement automatique des langues', 2015.0)	0.0	Hartrumpf, S., Helbig, H., Osswald, R.: The semantically based computer lexicon HaGenLex â€“ Structure and technological environment. Traitement automatique des langues 44(2), 81â€“105 (2003)	http://dx.doi.org/10.4000/rdlc.949	10.4000/rdlc.949	2015.0	Linguistique appliquée et traitement automatique des langues	Jacqueline Léon
('4. Hilfe zur Pflege und zur Weiterführung des Haushalts', 'None')	0.0	Osswald, R.: Die Verwendung von GermaNet zur Pflege und Erweiterung des Computerlexikons HaGenLex. LDV Forum 19(1/2), 43â€“51 (2004)	http://dx.doi.org/10.1524/9783486594737.298	10.1524/9783486594737.298	None	4. Hilfe zur Pflege und zur Weiterführung des Haushalts	None
('Semtence generation by pattern matching', 1997.0)	0.0	Helbig, H., Hartrumpf, S.: Word class functions for syntactic-semantic analysis. In: Proceedings of the 2nd International Conference on Recent Advances in Natural Language Processing (RANLP 1997), Tzigov Chark, Bulgaria, pp. 312â€“317 (1997)	http://dx.doi.org/10.1075/cilt.136.28zoc	10.1075/cilt.136.28zoc	1997.0	Semtence generation by pattern matching	Michael Zock
('FEMS laboratory course on biology of actinomycetes', 1993.0)	0.0	Hartrumpf, S.: Hybrid Disambiguation in Natural Language Analysis. Der Andere Verlag, OsnabrÃ¼ck (2003)	http://dx.doi.org/10.1111/j.1574-6968.1993.tb05992.x	10.1111/j.1574-6968.1993.tb05992.x	1993.0	FEMS laboratory course on biology of actinomycetes	None
('Vergleich zwischen MultiNet und anderen Wissensrepräsentationsmodellen', 2001.0)	0.0	Helbig, H.: Die semantische Struktur natÃ¼rlicher Sprache: WissensreprÃ¤sentation mit MultiNet. Springer, Berlin (2001)	http://dx.doi.org/10.1007/978-3-662-04311-0_15	10.1007/978-3-662-04311-0_15	2001.0	Vergleich zwischen MultiNet und anderen Wissensrepräsentationsmodellen	Hermann Helbig
('Searching for multimedia on the World Wide Web', 'None')	0.0	J. R. Smith and S.-F. Chang, â€œSearching for images and video on the World Wide Web,â€\x9d Multimedia Systems, vol. 3, pp. 3-14, 1995.	http://dx.doi.org/10.1109/mmcs.1999.779116	10.1109/mmcs.1999.779116	None	Searching for multimedia on the World Wide Web	M.J. Swain
