hash	auto_verified	verified	checked	citation	title	author	year
|('An O(v||v|| c ||E||) algoithm for finding maximum matching in general graphs', 1980.0)|	0	1	1	MICAL., S., AND V~ZIRAN~, V V. An O( V/{ V} " I El) algorithm for finding maximum matching m general graphs. In Proceedings of the 21st Annual Symposium on the Foundations of Computer Science. IEEE, New York, 1980, pp. I7-27.	|An O(v||v|| c ||E||) algoithm for finding maximum matching in general graphs|	Silvio Micali and Vijay V. Vazirani	1980
('Orthonormal Transforms of Time Series', 'None')	0	0	1	D. B. Percival and A. T. Walden. Wavelet Methods for Time Series Analysis. Cambridge Series in Statistical and Probabilistic Mathematics. Cambridge University Press, 2000.	Orthonormal Transforms of Time Series	Donald B. Percival and Andrew T. Walden	None
('I. Gutman, E. A. Martins, M. Robbiano, B. MartÂ´n, Ky Fan theorem applied to RandiÂ´c energy, Lin. Algebra Appl. 459 (2014) 23â€“42.', 'CITATION ONLY')	0	1	1	I. Gutman, E. A. Martins, M. Robbiano, B. MartÂ´n, Ky Fan theorem applied to RandiÂ´c energy, Lin. Algebra Appl. 459 (2014) 23â€“42.	Ky Fan theorem applied to Randi\u0107 energy	Ivan Gutman and Enide A. Martins and María Robbiano and Bernardo San Martín	2014
('A. Mehler, P. WeiÃŸ, A. LÂ¨ucking, A network model of interpersonal alignment, Entropy 12 (2010) 1440â€“1483.', 'CITATION ONLY')	0	1	1	A. Mehler, P. WeiÃŸ, A. LÂ¨ucking, A network model of interpersonal alignment, Entropy 12 (2010) 1440â€“1483.	A Network Model of Interpersonal Alignment in Dialog	Alexander Mehler and Andy Lücking and Petra Weiß	2010
('None', 'CITATION ONLY')	0	0	0	None	None	None	None
('Kashtan, N., Itzkovitz, S., Milo, R. & Alon, U. (2003)', 'CITATION ONLY')	0	1	1	Kashtan, N., Itzkovitz, S., Milo, R. & Alon, U. (2003)	Subgraphs in random networks	S. Itzkovitz and R. Milo and N. Kashtan and G. Ziv and U. Alon	2003
('Stanley Fields and Ok-kyu Song. "A novel genetic system to detect protein protein interactions". In: Nature 340 (1989), pp. 245â€“246.', 'CITATION ONLY')	0	1	1	Stanley Fields and Ok-kyu Song. "A novel genetic system to detect protein protein interactions". In: Nature 340 (1989), pp. 245â€“246.	A novel genetic system to detect protein–protein interactions	Stanley Fields and Ok-kyu Song	1989
('Bomze, I. M. (1997). Evolution towards the maximum clique. J. Global Optim., 10, 143–164.', 'CITATION ONLY')	0	1	1	Bomze, I. M. (1997). Evolution towards the maximum clique. J. Global Optim., 10, 143–164.	None	Immanuel M. Bomze	1997
