protein1 protein2 combined_score
243273.MgenG_010200000010 243273.MgenG_010200001777 165
243273.MgenG_010200000010 243273.MgenG_010200000730 182
243273.MgenG_010200000010 243273.MgenG_010200001727 373
243273.MgenG_010200000010 243273.MgenG_010200000490 337
243273.MgenG_010200000010 243273.MgenG_010200000085 152
243273.MgenG_010200000010 243273.MgenG_010200000650 267
243273.MgenG_010200000010 243273.MgenG_010200000335 175
243273.MgenG_010200000010 243273.MgenG_010200001005 207
243273.MgenG_010200000010 243273.MgenG_010200003096 213
243273.MgenG_010200000010 243273.MgenG_010200001627 167
243273.MgenG_010200000010 243273.MgenG_010200003275 286
243273.MgenG_010200000010 243273.MgenG_010200001602 351
243273.MgenG_010200000010 243273.MgenG_010200002164 182
243273.MgenG_010200000010 243273.MgenG_010200003141 362
243273.MgenG_010200000010 243273.MgenG_010200001307 747
243273.MgenG_010200000010 243273.MgenG_010200002229 184
243273.MgenG_010200000010 243273.MgenG_010200001798 967
243273.MgenG_010200000010 243273.MgenG_010200000690 150
243273.MgenG_010200000010 243273.MgenG_010200002199 717
243273.MgenG_010200000010 243273.MgenG_010200001322 709
243273.MgenG_010200000010 243273.MgenG_010200002134 153
243273.MgenG_010200000010 243273.MgenG_010200002619 200
243273.MgenG_010200000010 243273.MgenG_010200000290 155
243273.MgenG_010200000010 243273.MgenG_010200002204 154
243273.MgenG_010200000010 243273.MgenG_010200001210 479
243273.MgenG_010200000010 243273.MgenG_010200001145 242
243273.MgenG_010200000010 243273.MgenG_010200002269 172
243273.MgenG_010200000010 243273.MgenG_010200000005 859
243273.MgenG_010200000010 243273.MgenG_010200002289 976
243273.MgenG_010200000010 243273.MgenG_010200002569 993
243273.MgenG_010200000010 243273.MgenG_010200001722 373
243273.MgenG_010200000010 243273.MgenG_010200001572 620
243273.MgenG_010200000010 243273.MgenG_010200000480 153
243273.MgenG_010200000010 243273.MgenG_010200002234 179
243273.MgenG_010200000010 243273.MgenG_010200002454 664
243273.MgenG_010200000010 243273.MgenG_010200000395 716
243273.MgenG_010200000010 243273.MgenG_010200001085 167
243273.MgenG_010200000010 243273.MgenG_010200002941 176
243273.MgenG_010200000010 243273.MgenG_010200001923 310
243273.MgenG_010200000010 243273.MgenG_010200000540 176
243273.MgenG_010200000010 243273.MgenG_010200002509 186
243273.MgenG_010200000010 243273.MgenG_010200000485 179
243273.MgenG_010200000010 243273.MgenG_010200003171 333
243273.MgenG_010200000010 243273.MgenG_010200002023 291
243273.MgenG_010200000010 243273.MgenG_010200002539 273
243273.MgenG_010200000010 243273.MgenG_010200000090 150
243273.MgenG_010200000010 243273.MgenG_010200001742 733
243273.MgenG_010200000010 243273.MgenG_010200000620 220
243273.MgenG_010200000010 243273.MgenG_010200002901 291
243273.MgenG_010200000010 243273.MgenG_010200000195 593
243273.MgenG_010200000010 243273.MgenG_010200000225 301
243273.MgenG_010200000010 243273.MgenG_010200001782 663
243273.MgenG_010200000010 243273.MgenG_010200003176 594
243273.MgenG_010200000010 243273.MgenG_010200000135 199
243273.MgenG_010200000010 243273.MgenG_010200000775 175
243273.MgenG_010200000010 243273.MgenG_010200000020 668
243273.MgenG_010200000010 243273.MgenG_010200002008 583
243273.MgenG_010200000010 243273.MgenG_010200000795 187
243273.MgenG_010200000010 243273.MgenG_010200002499 186
243273.MgenG_010200000010 243273.MgenG_010200000080 206
243273.MgenG_010200000010 243273.MgenG_010200001677 206
243273.MgenG_010200000010 243273.MgenG_010200003146 233
243273.MgenG_010200000010 243273.MgenG_010200002609 162
243273.MgenG_010200000010 243273.MgenG_010200000040 999
243273.MgenG_010200000010 243273.MgenG_010200000990 252
243273.MgenG_010200000010 243273.MgenG_010200002781 273
243273.MgenG_010200000010 243273.MgenG_010200001170 582
243273.MgenG_010200000010 243273.MgenG_010200000340 344
243273.MgenG_010200000010 243273.MgenG_010200002851 264
243273.MgenG_010200000010 243273.MgenG_010200001702 266
243273.MgenG_010200000010 243273.MgenG_010200000185 194
243273.MgenG_010200000010 243273.MgenG_010200000945 575
243273.MgenG_010200000010 243273.MgenG_010200002159 720
243273.MgenG_010200000010 243273.MgenG_010200000305 175
243273.MgenG_010200000010 243273.MgenG_010200002956 304
243273.MgenG_010200000015 243273.MgenG_010200001492 511
243273.MgenG_010200000015 243273.MgenG_010200000225 455
243273.MgenG_010200000015 243273.MgenG_010200002519 248
243273.MgenG_010200000015 243273.MgenG_010200002049 192
243273.MgenG_010200000015 243273.MgenG_010200002023 167
243273.MgenG_010200000015 243273.MgenG_010200000195 618
243273.MgenG_010200000015 243273.MgenG_010200000620 194
243273.MgenG_010200000015 243273.MgenG_010200002766 463
243273.MgenG_010200000015 243273.MgenG_010200001317 657
243273.MgenG_010200000015 243273.MgenG_010200001135 430
243273.MgenG_010200000015 243273.MgenG_010200002509 172
243273.MgenG_010200000015 243273.MgenG_010200003171 200
243273.MgenG_010200000015 243273.MgenG_010200001185 528
243273.MgenG_010200000015 243273.MgenG_010200000440 339
243273.MgenG_010200000015 243273.MgenG_010200001727 226
243273.MgenG_010200000015 243273.MgenG_010200003176 622
243273.MgenG_010200000015 243273.MgenG_010200000135 783
243273.MgenG_010200000015 243273.MgenG_010200001782 369
243273.MgenG_010200000015 243273.MgenG_010200000020 878
243273.MgenG_010200000015 243273.MgenG_010200002008 550
243273.MgenG_010200000015 243273.MgenG_010200000775 590
243273.MgenG_010200000015 243273.MgenG_010200000445 571
243273.MgenG_010200000015 243273.MgenG_010200003373 175
243273.MgenG_010200000015 243273.MgenG_010200002609 570
243273.MgenG_010200000015 243273.MgenG_010200002539 551
243273.MgenG_010200000015 243273.MgenG_010200000395 185
243273.MgenG_010200000015 243273.MgenG_010200003146 614
243273.MgenG_010200000015 243273.MgenG_010200000485 503
243273.MgenG_010200000015 243273.MgenG_010200003126 175
243273.MgenG_010200000015 243273.MgenG_010200001742 755
243273.MgenG_010200000015 243273.MgenG_010200001677 543
243273.MgenG_010200000015 243273.MgenG_010200003096 522
243273.MgenG_010200000015 243273.MgenG_010200003101 488
243273.MgenG_010200000015 243273.MgenG_010200002901 167
243273.MgenG_010200000015 243273.MgenG_010200000990 438
243273.MgenG_010200000015 243273.MgenG_010200002941 287
243273.MgenG_010200000015 243273.MgenG_010200003353 213
243273.MgenG_010200000015 243273.MgenG_010200002594 158
243273.MgenG_010200000015 243273.MgenG_010200002781 559
243273.MgenG_010200000015 243273.MgenG_010200002289 171
243273.MgenG_010200000015 243273.MgenG_010200001572 965
243273.MgenG_010200000015 243273.MgenG_010200000040 782
243273.MgenG_010200000015 243273.MgenG_010200002956 235
243273.MgenG_010200000015 243273.MgenG_010200000895 206
243273.MgenG_010200000015 243273.MgenG_010200000480 152
243273.MgenG_010200000015 243273.MgenG_010200000305 492
243273.MgenG_010200000015 243273.MgenG_010200002619 654
243273.MgenG_010200000015 243273.MgenG_010200003038 333
243273.MgenG_010200000015 243273.MgenG_010200002639 277
243273.MgenG_010200000015 243273.MgenG_010200000290 616
243273.MgenG_010200000015 243273.MgenG_010200002891 439
243273.MgenG_010200000015 243273.MgenG_010200002204 181
243273.MgenG_010200000015 243273.MgenG_010200002234 160
243273.MgenG_010200000015 243273.MgenG_010200002134 190
243273.MgenG_010200000015 243273.MgenG_010200002259 848
243273.MgenG_010200000015 243273.MgenG_010200002569 627
243273.MgenG_010200000015 243273.MgenG_010200002214 150
243273.MgenG_010200000015 243273.MgenG_010200000825 193
243273.MgenG_010200000015 243273.MgenG_010200001722 226
243273.MgenG_010200000015 243273.MgenG_010200002786 433
243273.MgenG_010200000015 243273.MgenG_010200000080 209
243273.MgenG_010200000015 243273.MgenG_010200001322 554
243273.MgenG_010200000015 243273.MgenG_010200002319 268
243273.MgenG_010200000015 243273.MgenG_010200003111 205
243273.MgenG_010200000015 243273.MgenG_010200000655 197
243273.MgenG_010200000015 243273.MgenG_010200000340 161
243273.MgenG_010200000015 243273.MgenG_010200002851 481
243273.MgenG_010200000015 243273.MgenG_010200001702 494
243273.MgenG_010200000015 243273.MgenG_010200000090 228
243273.MgenG_010200000015 243273.MgenG_010200000185 264
243273.MgenG_010200000015 243273.MgenG_010200000945 575
243273.MgenG_010200000015 243273.MgenG_010200002499 172
243273.MgenG_010200000015 243273.MgenG_010200001607 252
243273.MgenG_010200000015 243273.MgenG_010200001170 811
243273.MgenG_010200000015 243273.MgenG_010200001140 614
243273.MgenG_010200000015 243273.MgenG_010200000285 423
243273.MgenG_010200000015 243273.MgenG_010200000025 932
243273.MgenG_010200000015 243273.MgenG_010200002454 854
243273.MgenG_010200000015 243273.MgenG_010200000545 157
243273.MgenG_010200000015 243273.MgenG_010200000540 816
243273.MgenG_010200000015 243273.MgenG_010200001005 175
243273.MgenG_010200000015 243273.MgenG_010200000905 192
243273.MgenG_010200000015 243273.MgenG_010200001085 151
243273.MgenG_010200000015 243273.MgenG_010200001145 522
243273.MgenG_010200000015 243273.MgenG_010200002514 494
243273.MgenG_010200000015 243273.MgenG_010200001923 178
243273.MgenG_010200000015 243273.MgenG_010200000005 859
243273.MgenG_010200000015 243273.MgenG_010200000220 232
243273.MgenG_010200000015 243273.MgenG_010200001427 202
243273.MgenG_010200000015 243273.MgenG_010200002269 389
243273.MgenG_010200000015 243273.MgenG_010200000690 169
243273.MgenG_010200000015 243273.MgenG_010200001210 151
243273.MgenG_010200000015 243273.MgenG_010200002199 151
243273.MgenG_010200000015 243273.MgenG_010200003285 600
243273.MgenG_010200000015 243273.MgenG_010200001948 161
243273.MgenG_010200000015 243273.MgenG_010200003368 175
243273.MgenG_010200000015 243273.MgenG_010200000085 168
243273.MgenG_010200000015 243273.MgenG_010200002654 297
243273.MgenG_010200000015 243273.MgenG_010200001312 538
243273.MgenG_010200000015 243273.MgenG_010200002264 509
243273.MgenG_010200000015 243273.MgenG_010200001130 711
243273.MgenG_010200000015 243273.MgenG_010200001963 209
243273.MgenG_010200000015 243273.MgenG_010200000700 563
243273.MgenG_010200000015 243273.MgenG_010200002304 268
243273.MgenG_010200000015 243273.MgenG_010200001567 604
243273.MgenG_010200000015 243273.MgenG_010200002074 179
243273.MgenG_010200000015 243273.MgenG_010200000200 751
243273.MgenG_010200000015 243273.MgenG_010200000810 563
243273.MgenG_010200000015 243273.MgenG_010200001372 546
243273.MgenG_010200000015 243273.MgenG_010200001000 635
243273.MgenG_010200000015 243273.MgenG_010200001175 307
243273.MgenG_010200000015 243273.MgenG_010200002544 184
243273.MgenG_010200000015 243273.MgenG_010200003166 200
243273.MgenG_010200000015 243273.MgenG_010200000685 159
243273.MgenG_010200000015 243273.MgenG_010200001587 158
243273.MgenG_010200000015 243273.MgenG_010200002013 862
243273.MgenG_010200000015 243273.MgenG_010200002634 465
243273.MgenG_010200000015 243273.MgenG_010200002484 538
243273.MgenG_010200000015 243273.MgenG_010200000745 448
243273.MgenG_010200000015 243273.MgenG_010200002084 185
243273.MgenG_010200000015 243273.MgenG_010200000160 593
243273.MgenG_010200000015 243273.MgenG_010200003200 175
243273.MgenG_010200000015 243273.MgenG_010200000835 281
243273.MgenG_010200000015 243273.MgenG_010200001828 659
243273.MgenG_010200000015 243273.MgenG_010200000610 194
243273.MgenG_010200000015 243273.MgenG_010200000525 175
243273.MgenG_010200000015 243273.MgenG_010200000660 237
243273.MgenG_010200000015 243273.MgenG_010200000075 520
